time,1_x,1_y,1_z,control_pressure_0,control_pressure_1,control_pressure_2
1697541941.333348,0.031165,0.35417,0.20178,2.0,2.0,2.0
1697541941.343722,0.031183,0.354173,0.201783,2.0,2.0,2.0
1697541941.353746,0.031202,0.354176,0.201785,2.0,2.0,2.0
1697541941.363476,0.03122,0.354179,0.201788,2.0,2.0,2.0
1697541941.37377,0.031237,0.354181,0.20179,2.0,2.0,2.0
1697541941.384567,0.031254,0.354184,0.201792,2.0,2.0,2.0
1697541941.393533,0.031271,0.354187,0.201794,2.0,2.0,2.0
1697541941.403537,0.031287,0.35419,0.201795,2.0,2.0,2.0
1697541941.414247,0.031304,0.354192,0.201797,2.0,2.0,2.0
1697541941.423302,0.031319,0.354195,0.201798,2.0,2.0,2.0
1697541941.433405,0.031335,0.354197,0.201799,2.0,2.0,2.0
1697541941.444509,0.031351,0.3542,0.201799,2.0,2.0,2.0
1697541941.453182,0.031366,0.354202,0.2018,2.0,2.0,2.0
1697541941.463907,0.031381,0.354205,0.201801,2.0,2.0,2.0
1697541941.473631,0.031396,0.354207,0.201802,2.0,2.0,2.0
1697541941.483429,0.03141,0.354209,0.201803,2.0,2.0,2.0
1697541941.492953,0.031424,0.354211,0.201805,2.0,2.0,2.0
1697541941.503883,0.031438,0.354214,0.201806,2.0,2.0,2.0
1697541941.513188,0.031452,0.354216,0.201808,2.0,2.0,2.0
1697541941.52339,0.031465,0.354218,0.201809,2.0,2.0,2.0
1697541941.53304,0.031479,0.35422,0.20181,2.0,2.0,2.0
1697541941.543117,0.031492,0.354222,0.201812,2.0,2.0,2.0
1697541941.553344,0.031505,0.354224,0.201813,2.0,2.0,2.0
1697541941.563282,0.031517,0.354226,0.201813,2.0,2.0,2.0
1697541941.573338,0.031529,0.354228,0.201814,2.0,2.0,2.0
1697541941.583277,0.03154,0.35423,0.201814,2.0,2.0,2.0
1697541941.593209,0.031551,0.354232,0.201814,2.0,2.0,2.0
1697541941.60283,0.031562,0.354233,0.201814,2.0,2.0,2.0
1697541941.613299,0.031573,0.354235,0.201814,2.0,2.0,2.0
1697541941.623351,0.031583,0.354237,0.201814,2.0,2.0,2.0
1697541941.633048,0.031594,0.354239,0.201814,2.0,2.0,2.0
1697541941.642345,0.031604,0.35424,0.201814,2.0,2.0,2.0
1697541941.65368,0.031614,0.354242,0.201814,2.0,2.0,2.0
1697541941.663487,0.031624,0.354244,0.201814,2.0,2.0,2.0
1697541941.673757,0.031634,0.354245,0.201814,2.0,2.0,2.0
1697541941.683527,0.031643,0.354247,0.201814,2.0,2.0,2.0
1697541941.693558,0.031652,0.354249,0.201814,2.0,2.0,2.0
1697541941.703076,0.031661,0.354251,0.201814,2.0,2.0,2.0
1697541941.713588,0.03167,0.354252,0.201814,2.0,2.0,2.0
1697541941.7247,0.031679,0.354254,0.201814,2.0,2.0,2.0
1697541941.733232,0.031687,0.354255,0.201814,2.0,2.0,2.0
1697541941.743606,0.031695,0.354257,0.201814,2.0,2.0,2.0
1697541941.75413,0.031703,0.354258,0.201814,2.0,2.0,2.0
1697541941.76363,0.031711,0.354259,0.201813,2.0,2.0,2.0
1697541941.773676,0.031719,0.35426,0.201812,2.0,2.0,2.0
1697541941.783883,0.031726,0.354262,0.201812,2.0,2.0,2.0
1697541941.793103,0.031734,0.354263,0.201811,2.0,2.0,2.0
1697541941.803639,0.031741,0.354264,0.20181,2.0,2.0,2.0
1697541941.815066,0.031748,0.354265,0.201809,2.0,2.0,2.0
1697541941.823524,0.031755,0.354267,0.201808,2.0,2.0,2.0
